Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Gene name
ENSG00000196535,ENSG00000196535.20,ENST00000527372,ENST00000527372.7,MYO18A
ENSG00000130294,ENSG00000130294.18,ENST00000498729,ENST00000498729.9,KIF1A
ENSG00000167552,ENSG00000167552.15,ENST00000295766,ENST00000295766.9,TUBA1A
ENSG00000198753,ENSG00000198753.12,ENST00000538966,ENST00000538966.5,PLXNB3
ENSG00000111843,ENSG00000111843.14,ENST00000541412,ENST00000541412.5,TMEM14C
ENSG00000203859,ENSG00000203859.10,ENST00000543831,ENST00000543831.5,HSD3B2
ENSG00000178401,ENSG00000178401.16,ENST00000549441,ENST00000549441.7,DNAJC22
ENSG00000092841,ENSG00000092841.19,ENST00000550697,ENST00000550697.6,MYL6
ENSG00000127328,ENSG00000127328.22,ENST00000550536,ENST00000550536.5,RAB3IP
ENSG00000135439,ENSG00000135439.12,ENST00000547588,ENST00000547588.6,AGAP2
ENSG00000198211,ENSG00000198211.8,ENST00000556922,ENST00000556922.1,
ENSG00000261456,ENSG00000261456.6,ENST00000568584,ENST00000568584.6,TUBB8
ENSG00000167515,ENSG00000167515.11,ENST00000568583,ENST00000568583.5,TRAPPC2L
ENSG00000186260,ENSG00000186260.17,ENST00000571589,ENST00000571589.6,MRTFB
ENSG00000108433,ENSG00000108433.17,ENST00000573224,ENST00000573224.2,GOSR2
ENSG00000176105,ENSG00000176105.14,ENST00000584307,ENST00000584307.5,YES1
ENSG00000118680,ENSG00000118680.14,ENST00000581193,ENST00000581193.5,MYL12B
ENSG00000265681,ENSG00000265681.8,ENST00000579408,ENST00000579408.5,RPL17
ENSG00000141522,ENSG00000141522.12,ENST00000584461,ENST00000584461.5,ARHGDIA
ENSG00000130175,ENSG00000130175.10,ENST00000592741,ENST00000592741.5,PRKCSH
ENSG00000105669,ENSG00000105669.14,ENST00000600932,ENST00000600932.5,COPE
ENSG00000099331,ENSG00000099331.14,ENST00000595618,ENST00000595618.5,MYO9B
ENSG00000083845,ENSG00000083845.9,ENST00000596046,ENST00000596046.1,RPS5
ENSG00000157916,ENSG00000157916.20,ENST00000605895,ENST00000605895.6,RER1
ENSG00000277443,ENSG00000277443.3,ENST00000612661,ENST00000612661.2,MARCKS
ENSG00000136997,ENSG00000136997.22,ENST00000621592,ENST00000621592.8,MYC
ENSG00000248905,ENSG00000248905.10,ENST00000616417,ENST00000616417.5,FMN1
ENSG00000213047,ENSG00000213047.13,ENST00000620048,ENST00000620048.6,DENND1B
ENSG00000144711,ENSG00000144711.17,ENST00000613206,ENST00000613206.2,IQSEC1
ENSG00000054116,ENSG00000054116.12,ENST00000616395,ENST00000616395.4,TRAPPC3
ENSG00000274523,ENSG00000274523.5,ENST00000610322,ENST00000610322.5,RCC1L
ENSG00000005243,ENSG00000005243.10,ENST00000621465,ENST00000621465.5,COPZ2
ENSG00000160695,ENSG00000160695.16,ENST00000621676,ENST00000621676.5,VPS11
ENSG00000095383,ENSG00000095383.20,ENST00000465784,ENST00000465784.7,TBC1D2
ENSG00000138834,ENSG00000138834.15,ENST00000610761,ENST00000610761.2,MAPK8IP3
ENSG00000106123,ENSG00000106123.12,ENST00000619012,ENST00000619012.4,EPHB6
ENSG00000184983,ENSG00000184983.11,ENST00000617763,ENST00000617763.1,NDUFA6
ENSG00000006062,ENSG00000006062.18,ENST00000376926,ENST00000376926.8,MAP3K14
ENSG00000140564,ENSG00000140564.13,ENST00000618099,ENST00000618099.4,FURIN
ENSG00000115756,ENSG00000115756.13,ENST00000620771,ENST00000620771.4,HPCAL1
ENSG00000243910,ENSG00000243910.8,ENST00000490341,ENST00000490341.3,TUBA4B
ENSG00000251322,ENSG00000251322.11,ENST00000445220,ENST00000445220.7,SHANK3
ENSG00000105443,ENSG00000105443.17,ENST00000641098,ENST00000641098.1,CYTH2
ENSG00000103494,ENSG00000103494.16,ENST00000647211,ENST00000647211.2,RPGRIP1L
ENSG00000162065,ENSG00000162065.14,ENST00000646147,ENST00000646147.1,TBC1D24
ENSG00000075624,ENSG00000075624.17,ENST00000646664,ENST00000646664.1,ACTB
ENSG00000286112,ENSG00000286112.1,ENST00000651925,ENST00000651925.1,
