"__mclCluster","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000265165","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000265165",,,,"0.062",,,,"0.496","0.485"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000411355","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000411355",,,,"0.182",,,,"0.424","0.325"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000227507","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000227507",,,,,,,,"0.52","0.52"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000340944","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000340944",,,,"0.108",,,,"0.549","0.515"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000302625","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000302625",,,,"0.057",,,,"0.407","0.397"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000361818","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000361818",,,,,,,,"0.513","0.513"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000263923","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000263923",,,,,,,,"0.949","0.949"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000317272","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000317272","0.062",,,"0.057",,,,"0.589","0.573"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000348461","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000348461",,,,"0.059",,,,"0.47","0.46"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000257818","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000257818",,,,"0.056",,,,"0.469","0.461"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000356042","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000356042",,,,"0.073",,,,"0.475","0.457"
,"pp","9606.ENSP00000053243 (pp) 9606.ENSP00000370343","false","pp","9606.ENSP00000053243 (pp) 9606.ENSP00000370343","0.161",,,,,,,"0.457","0.38"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000262320","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000262320",,,,"0.057",,,,"0.719","0.715"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000264463","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000264463",,,"0.54",,,,,"0.635","0.241"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000268603","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000268603",,,"0.54",,,,,"0.664","0.301"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000361021","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000361021",,,,,,,,"0.579","0.579"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000331327","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000331327",,,,"0.056",,,,"0.412","0.403"
"1","pp","9606.ENSP00000053243 (pp) 9606.ENSP00000376786","false","pp","9606.ENSP00000053243 (pp) 9606.ENSP00000376786","0.683",,,,,,,"0.807","0.417"
"1","pp","9606.ENSP00000053243 (pp) 9606.ENSP00000376544","false","pp","9606.ENSP00000053243 (pp) 9606.ENSP00000376544","0.122",,,,,,,"0.442","0.391"
"1","pp","9606.ENSP00000053243 (pp) 9606.ENSP00000221972","false","pp","9606.ENSP00000053243 (pp) 9606.ENSP00000221972","0.182",,,,,,,"0.572","0.499"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000347942","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000347942",,,,,,,,"0.453","0.453"
,"pp","9606.ENSP00000053243 (pp) 9606.ENSP00000363689","false","pp","9606.ENSP00000053243 (pp) 9606.ENSP00000363689",,,,,,,,"0.485","0.485"
,"pp","9606.ENSP00000053243 (pp) 9606.ENSP00000351497","false","pp","9606.ENSP00000053243 (pp) 9606.ENSP00000351497","0.071",,,,,,,"0.432","0.414"
,"pp","9606.ENSP00000053243 (pp) 9606.ENSP00000358092","false","pp","9606.ENSP00000053243 (pp) 9606.ENSP00000358092",,,,,,,,"0.404","0.404"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000244007","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000244007",,,"0.9","0.118",,,,"0.932","0.297"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000376475","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000376475","0.065",,,"0.078",,,,"0.411","0.372"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000256078","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000256078","0.063",,,"0.167",,,,"0.534","0.451"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000231790","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000231790",,,,,,,,"0.504","0.504"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000418915","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000418915","0.062",,,"0.08",,,,"0.583","0.556"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000267622","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000267622",,,,,,,,"0.511","0.511"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000295600","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000295600","0.051",,,,,,,"0.49","0.485"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000393312","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000393312",,,,,,,,"0.503","0.503"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000451828","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000451828","0.062",,,"0.159",,,,"0.586","0.518"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000296930","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000296930",,,,,,,,"0.505","0.505"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000241453","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000241453",,,,,,,,"0.457","0.457"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000288135","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000288135",,,,,,,,"0.619","0.619"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000405330",,,"0.9","0.057",,,,"0.924","0.259"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000362680","0.063",,"0.65","0.159",,,,"0.865","0.569"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000281708","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000281708","0.055",,,"0.058",,,,"0.534","0.519"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000357494","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000357494",,,,"0.159",,,,"0.48","0.408"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000269571","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000269571","0.065",,,"0.056",,,,"0.491","0.47"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000400175","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000400175","0.068",,,"0.167",,,,"0.483","0.389"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000263121","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000263121","0.068",,,"0.124",,,,"0.609","0.56"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000360141","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000360141","0.062",,"0.54","0.271",,,,"0.693","0.14"
"1","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000282018","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000282018",,,"0.6",,,,,"0.828","0.588"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000320147","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000320147",,,,,,,,"0.455","0.455"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000351015","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000351015","0.064",,,,,,,"0.537","0.526"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000302486","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000302486","0.07",,,"0.151",,,,"0.565","0.494"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000417132","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000417132","0.062",,,,,,,"0.61","0.602"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000341551","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000341551","0.068",,,,,,,"0.497","0.483"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000263967","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000263967","0.062",,"0.9","0.06",,,,"0.957","0.576"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000257904","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000257904",,,,"0.152",,,,"0.456","0.385"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000277541","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000277541","0.064",,,,,,,"0.434","0.421"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000309591","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000309591","0.066",,"0.9","0.101",,,,"0.926","0.231"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000340944","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000340944","0.093",,,"0.068",,,,"0.542","0.502"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000254066","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000254066",,,,"0.056",,,,"0.556","0.55"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000358548","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000358548","0.062",,,"0.167",,,,"0.747","0.703"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000368927","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000368927",,,,,,,,"0.713","0.714"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000331897","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000331897",,,,"0.153",,,,"0.607","0.556"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000278616","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000278616","0.052",,,"0.163",,,,"0.526","0.451"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000347942","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000347942",,,,,,,,"0.596","0.596"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000263826","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000263826","0.062",,,"0.159",,,,"0.415","0.318"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000483570","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000483570",,,"0.6","0.159",,,,"0.697","0.174"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000361021","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000361021","0.055",,,,,,,"0.532","0.526"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000286301","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000286301",,,,,,,,"0.465","0.465"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000215832","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000215832","0.094",,,"0.195",,,,"0.452","0.309"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000441235","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000441235",,,,"0.213",,,,"0.502","0.393"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000342235","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000342235",,,,"0.056",,,,"0.535","0.528"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000262948","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000262948","0.1",,,"0.151",,,,"0.5","0.399"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000263923","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000263923",,,,"0.213",,,,"0.548","0.45"
,"pp","9606.ENSP00000078429 (pp) 9606.ENSP00000391676","false","pp","9606.ENSP00000078429 (pp) 9606.ENSP00000391676",,,,"0.159",,,,"0.578","0.519"
