"Gene.Symbol","EC53.veh","EC53.fs","EC53.bs","EC53.cbd","EC53.iso","EC268.bs","EC268.veh","EC268.iso","EC268.fs","EC291.veh","EC268.cbd","EC291.fs","EC291.bs","EC291.cbd","EC291.iso"
"PPL",8336.3,9020.7,9543.8,13828.4,9619,8579.1,7391,7027,6979.7,7350.5,7809,9525.9,8026.4,8539,8307.7
"H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9",55638.7,45047.7,39785.5,35673.3,52465.6,57464.7,57209.7,54160.3,62917.3,79680.3,37360.2,37398.2,42252.3,37910.4,39086.7
"DSG2",5652.9,6661.6,6851.4,8980.7,6326.5,7037.7,6065,6448,6405.8,5964.6,6455.3,7817.7,6816.1,7867.8,6744.4
"RPL3",27543.8,26335.4,24801.4,24459.6,27462.6,27303.8,25191.6,26156.4,26613.7,29580.3,27564,26276,26981.1,26134.6,27355.5
"RPS3",12696.6,12293.4,11827.1,11471.3,13408.3,12107.5,11157,12000.7,11717.5,13972.4,16213.5,14981.9,15339.4,14967.9,17940
"CLTC",11297.9,11229.8,10930.3,15678.4,12584.7,11470,9188.7,9865.2,10251.2,12107,11057.8,15101.7,12031.2,12993.6,12204
"NPM1",456.4,521.9,508.4,381.7,419.9,640.5,586.3,741.3,572.2,423.7,503.9,468.3,514.2,463.3,472.1
"ACTN4",10926.8,10232.3,9358,10462.8,11910.2,9806.7,8716.8,8817.5,9855.5,11216,10425.2,12196.6,12850.2,12723.4,12834.8
"H2BC26",1207.4,1423,1551.1,1691.7,1403.7,1772.3,1673.7,1975.3,1593.5,1670.4,1317.1,1697.9,1490,1710.6,1305.2
"VCL",10214,10391.6,10340.6,12393.6,10868,10997.2,9652.6,10925.3,11257.5,12611.9,10416.6,12649.8,11203.4,11706.9,11057.8
"YWHAZ",30236.8,26843.2,24923.4,28471.8,32666.2,18831.4,14196.7,16853.3,15845.4,18638.3,17389.4,18493.9,19247.7,18529.8,19900.7
"H1-5",15615.6,14582.6,13858.2,17633.8,15264.2,11932.3,11308.9,9883.7,10709.7,11780,13968.9,20001.5,17271.8,19311.5,13154
"TUBB4A",93,90.4,96.8,65.9,93.2,78.9,73.9,84.2,69.4,75.7,154.4,76.4,125.7,117.1,134.7
"HSPB1",12772.2,14432.5,14220.2,14021.3,13834.4,10004.5,9263.6,8229.2,8466.1,7585.8,7119,7498.1,7653.5,7151.7,7212.7
"CCT3",12814,13852.6,13498.8,18158.2,14336.9,13355.4,11633.9,13066.4,12235.3,12698.6,13503.4,17036.6,14154.2,15126.9,13934.7
"SPTBN1",350.3,396.5,479.4,506.5,377.6,472.2,452.6,467.1,455.9,392.7,488.1,356.6,432.4,430.9,518.4
"IQGAP1",10409.5,9729.3,9187.6,11023.7,10518.3,9201.6,9195.8,8726.2,9743.4,10544.3,9045.8,12961.7,9960.2,10783.5,10140.1
"TUBB3",1385.6,1570.4,1705.3,1913.2,1727.3,1427.7,1133,1347.5,1035.6,1133.5,1361.9,1850.8,1547.1,1722.5,1538.3
"HSPA2",2701.7,2920.8,2833.1,2889.3,2475.1,2412.8,2451.3,2163.7,2099.6,2075.8,2099.7,1687.1,1936.1,1796.6,2029.4
"RPS3",268.6,257.7,327.8,160.8,254.7,365.5,431.3,368.1,444.2,362.9,241.6,148.8,262.4,209,238
"KRT6B",1506.5,2121.4,2418.2,2759.3,1852.1,1166.7,701.7,812.6,688.4,543.5,830.4,843.7,865.7,886.4,822.8
